route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,route_direction,trip_note,bikes_allowed
"1-10T-3-sj2-1","tw3+1","1.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","1.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","1.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","10.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","10.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","10.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","100.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","100.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","100.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","101.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","101.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","101.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","102.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","102.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","102.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","103.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","103.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","103.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
